country,population
China,1388060000
India,1325200000
United States,326275000
Indonesia,261890900
Pakistan,209904000
Brazil,208390000
Nigeria,193392500
Bangladesh,163646000
Russia,146854419
Japan,126670000
Mexico,123675351
Philippines,105021000
Egypt,96186400
Ethiopia,94352000
Vietnam,93700000
Germany,82800000
Democratic Republic of the Congo,81339900
Iran,81039400
Turkey,79814871
France,67182000
Thailand,66061000
United Kingdom,65648000
Italy,60504233
South Africa,56717000
Myanmar,53370609
Tanzania,51557365
South Korea,51446201
Kenya,49699862
Colombia,49538200
Spain,46549045
Argentina,44044811
Ukraine,42434767
Algeria,41697498
Sudan,40782742
Poland,38426000
Iraq,38274618
Uganda,37673800
Canada,36746700
Morocco,34520900
Saudi Arabia,32612641
Uzbekistan,32345000
Malaysia,32327000
Peru,31826018
Venezuela,31431164
Afghanistan,29724323
Ghana,28956587
Nepal,28825709
Angola,28359634
Yemen,28250000
Mozambique,27128530
Madagascar,25571000
North Korea,25491000
Australia,24746700
Ivory Coast,24294750
Taiwan,23562318
Cameroon,23248044
Sri Lanka,21444000
Niger,20651070
Romania,19638000
Burkina Faso,19632147
Mali,18542000
Syria,18270000
Kazakhstan,18117600
Chile,17373831
Malawi,17373185
Netherlands,17179500
Ecuador,16641100
Zambia,16405229
Guatemala,16176133
Cambodia,15848495
Senegal,15256346
Chad,14900000
Somalia,14742523
Zimbabwe,14542235
South Sudan,11868209
Rwanda,11809300
Guinea,11702692
Tunisia,11446300
Belgium,11385383
Cuba,11239224
Bolivia,11145770
Benin,11002578
Haiti,10911819
Greece,10783748
Czech Republic,10588063
Burundi,10400938
Portugal,10309573
Dominican Republic,10169172
Sweden,10103843
Jordan,10031690
Azerbaijan,9867250
Hungary,9799000
Belarus,9495800
United Arab Emirates,9400000
Honduras,8866351
Tajikistan,8829300
Austria,8817514
Israel,8785940
Switzerland,8448585
Papua New Guinea,8151300
Hong Kong,7389500
Togo,7178000
Bulgaria,7101859
Sierra Leone,7092113
Serbia,7058322
Paraguay,6953646
El Salvador,6581940
Laos,6492400
Libya,6374616
Nicaragua,6305956
Kyrgyzstan,6140200
Lebanon,6082000
Denmark,5778570
Turkmenistan,5758000
Singapore,5612300
Finland,5509984
Slovakia,5441899
Norway,5290288
Republic of the Congo,5260750
Eritrea,5068831
Costa Rica,4947490
New Zealand,4838780
State of Palestine,4816503
Republic of Ireland,4792500
Central African Republic,4659080
Oman,4639678
Liberia,4289520
Croatia,4154213
Kuwait,4132415
Panama,4098135
Mauritania,3806719
Georgia (country),3718200
Moldova,3550900
Bosnia and Herzegovina,3518000
Uruguay,3493205
Puerto Rico,3411307
Mongolia,3184625
Armenia,2979600
Albania,2876591
Lithuania,2810865
Jamaica,2730894
Qatar,2634234
Namibia,2368747
Lesotho,2233339
Botswana,2230905
The Gambia,2101000
Republic of Macedonia,2073702
Slovenia,2065895
Gabon,2025137
Latvia,1932200
Kosovo,1783531
Guinea-Bissau,1553822
Bahrain,1451200
Trinidad and Tobago,1356633
Estonia,1352320
Mauritius,1263820
Equatorial Guinea,1222442
East Timor,1167242
Swaziland,1145970
Djibouti,956985
Fiji,869458
Cyprus,854800
Comoros,806153
Bhutan,794450
Guyana,777859
Solomon Islands,651700
Macau,648500
Montenegro,622387
Luxembourg,590667
Western Sahara,552628
Suriname,541638
Cape Verde,531239
Transnistria,475665
Malta,434403
Brunei,417200
Belize,380010
The Bahamas,378040
Iceland,346750
Maldives,344023
Northern Cyprus,313626
Vanuatu,289700
Barbados,285719
New Caledonia,277000
French Polynesia,275918
Abkhazia,240705
Samoa,196315
São Tomé and Príncipe,187356
Saint Lucia,178844
Guam,184200
Curaçao,160337
Republic of Artsakh,150932
Kiribati,115300
Aruba,110882
Saint Vincent and the Grenadines,109557
United States Virgin Islands,104901
Federated States of Micronesia,104600
Jersey,104200
Grenada,103328
Tonga,100600
Seychelles,94205
Antigua and Barbuda,86295
Isle of Man,83314
Andorra,78264
Dominica,71293
Guernsey,62723
Bermuda,61954
Cayman Islands,60413
American Samoa,56400
Greenland,56171
Northern Mariana Islands,55700
Marshall Islands,55000
South Ossetia,53532
Faroe Islands,50358
Saint Kitts and Nevis,46204
Sint Maarten,39410
Turks and Caicos Islands,37910
Liechtenstein,37815
Monaco,37550
Saint-Martin,36457
San Marino,33265
Gibraltar,33140
British Virgin Islands,28514
Cook Islands,18100
Palau,17800
Anguilla,13452
Wallis and Futuna,11800
Nauru,10800
Tuvalu,10100
Saint Barthélemy,9417
Saint Pierre and Miquelon,6286
"Saint Helena, Ascension and Tristan da Cunha",5633
Montserrat,4922
Falkland Islands,2563
Norfolk Island,2302
Christmas Island,2072
Niue,1470
Tokelau,1411
Vatican City,800
Cocos (Keeling) Islands,550
Pitcairn Islands,57
